N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
252,0.2,0,3,1,0.0,LP,0.26008170110831297,0.4819844983595061,0.7230320054053084,-0.788480663059677,0.3298517177315082
189,0.3,2,3,1,0.0,LP,0.32136272942193744,0.6610985255292307,0.722865451153501,-0.7408616519929411,0.4337688805426244
210,0.2,1,4,1,0.0,LP,0.278661429850398,0.644629622765024,0.722846937217838,-0.807549718843468,0.3450703075588743
231,0.2,0,3,1,0.0,HLP,0.24566347531278154,0.43642111299721636,0.7226857320343439,-0.6193245454628746,0.3966635540485095
189,0.3,2,4,1,0.0,LP,0.3431454182089968,0.7955007435135646,0.7226457240182276,-0.7904803469308374,0.43409734288943697
147,0.4,1,2,3,0.0,LP,0.14018792545221959,0.21389038494854645,0.7213588838181721,-0.37256788420337805,0.37627485190240806
294,0.3,1,2,4,0.0,LP,0.15252271369709214,0.2355009558934052,0.7211029247429122,-0.3751081738300973,0.4066099443788081
147,0.4,1,4,1,0.0,LP,0.21355161735072103,0.35837138103699584,0.7210373036111751,-0.5214895097302985,0.4095031891651371
210,0.4,0,2,1,0.0,LP,0.14473040079602328,0.2219236864772617,0.7207265512935584,-0.38468709933190337,0.37622889108415786
126,0.3,1,3,2,0.0,LP,0.22846674924339982,0.39479800695774075,0.7203918061159863,-0.598541160306492,0.3817059951673332
315,0.3,1,2,3,0.0,LP,0.16133301763078567,0.25192491040098713,0.720373095166683,-0.43233915097547093,0.3731630995406636
210,0.2,0,3,2,0.0,LP,0.24387058070460133,0.4372953404278017,0.7200922245474611,-0.6981482500048526,0.34931059513922186
189,0.4,0,2,1,0.0,LP,0.14383924255041425,0.2209728543718985,0.7194546210744256,-0.35800106593514847,0.40178439741425404
168,0.2,1,4,2,0.0,LP,0.27609851190270507,0.6750348693206257,0.7189217343341342,-0.8416903903294699,0.3280285899362942
189,0.2,1,2,2,0.0,LP,0.23713443516705435,0.4228371930840793,0.7187721928441888,-0.5895326984052177,0.4022413613503403
147,0.4,1,2,4,0.0,LP,0.13408625364435034,0.20445066971654535,0.7186945707439313,-0.3604740547979811,0.37197199593045804
