N,p,lag,cap,K,short,scheme,total,CAGR,vol,Sharpe,MDD,Calmar
231,0.2,1,3,2,0.5,LP,320.19539984819164,0.2440053719238795,0.5098214207238161,0.6856969432199808,-0.639647433553219,0.3814685389550275
252,0.2,1,2,2,0.5,HLP,162.9846872563424,0.21350936047989832,0.3989988248639256,0.6854473486421833,-0.5812905880062099,0.3673022837204744
126,0.2,0,4,1,1.0,HLP,349.29840572137294,0.2438090688284229,0.8701849686495534,0.685416259568752,-0.9605984959417528,0.2538095467132676
168,0.4,2,4,1,0.5,HLP,329.47200310982987,0.24278875247588427,0.48293275860055274,0.6850627574231538,-0.6714859548996428,0.3615693682113878
252,0.2,0,4,1,0.5,LP,319.64778571396084,0.2447839486088399,0.5185673256934731,0.68444837055548,-0.6804755329221552,0.35972483471619926
126,0.3,2,4,2,0.5,LP,914.4964426152832,0.28911228171094616,0.8154740321754226,0.6843085772005103,-0.8045219220148858,0.35935910980135705
147,0.4,2,4,2,1.0,LP,374.20434795007213,0.247851730628176,0.521540958467038,0.6841500863085526,-0.6851262463890095,0.36176067102156767
252,0.3,0,4,1,0.5,LP,122.17654740909788,0.2004038227457765,0.3660888446959402,0.6839135698921496,-0.5428882769045837,0.3691437654326045
210,0.2,0,3,2,0.5,LP,187.73532373325358,0.21847605478948817,0.41886686061536643,0.6836120854532474,-0.551848666317134,0.3958984919679688
252,0.3,0,2,1,0.5,LP,37.22066255933684,0.14826475364207736,0.24739721189671593,0.68352341728953,-0.4180070312730313,0.35469440116961737
189,0.3,2,3,1,0.5,HLP,498.5958614750951,0.26310580002603534,0.6299287236286718,0.683097630206564,-0.7719242385415814,0.34084407107506903
126,0.3,2,3,2,0.5,LP,740.0514905286122,0.2790038378569135,0.6781681203673371,0.6829340722884618,-0.7210033526692845,0.38696607557231316
126,0.3,0,2,2,0.5,HLP,89.14745047333963,0.18250116323824672,0.3215157102897814,0.682472749578067,-0.5704335598047807,0.3199341274743794
231,0.2,0,3,1,0.5,HLP,230.428151447406,0.22867646096746608,0.45457831720863123,0.6822852628873085,-0.63574107160711,0.35970062527089464
231,0.2,0,3,2,0.5,HLP,162.45283083959944,0.21262032109468465,0.40236561501955403,0.682218802205556,-0.6253001911162723,0.3400291957613502
273,0.2,1,4,2,0.5,LP,396.9053756983628,0.2559270886353886,0.6102654910428978,0.6821995786412284,-0.7646242340591252,0.33470962236804913
126,0.2,0,4,1,1.0,LP,345.4881177678332,0.24330258914885294,0.8417187567039454,0.6821332455138205,-0.9273677063784022,0.26235827221006985
147,0.2,0,2,1,0.5,HLP,214.74379385179202,0.22232125097590116,0.43267708850003367,0.6819553974818695,-0.6783121823542659,0.32775653564745827
315,0.2,1,2,2,0.5,LP,129.62863400671628,0.20521466522195353,0.3816813938332719,0.6817891196621885,-0.5580526845967817,0.36773349700885394
126,0.3,0,4,2,0.5,HLP,225.78304743839595,0.2238321731042301,0.43600892113680784,0.6817024911472154,-0.7579186159216934,0.29532481245632314
126,0.2,0,2,2,0.5,HLP,222.83391817393422,0.22323576593765027,0.43562962220694446,0.6816823810649205,-0.7092312506171896,0.31475737390785485
189,0.2,0,2,1,0.5,LP,162.24072018114524,0.21109751867906668,0.4019223970028016,0.681526343488996,-0.7243888991154521,0.29141462401872376
126,0.4,2,2,3,0.5,LP,82.61332976903243,0.17919238355042078,0.3137756625893244,0.6814811786584315,-0.5522441833644244,0.32448034573896495
126,0.2,0,4,2,0.5,HLP,496.5308191008716,0.260167714777934,0.6267629069806304,0.6813247572705926,-0.8632866903460673,0.30136884732190194
126,0.2,0,3,4,0.5,HLP,242.09121178245087,0.22700112609236744,0.4511376726637932,0.6812874423849882,-0.8081097233552046,0.2809038420548606
189,0.2,0,3,1,0.5,LP,306.6021921997165,0.24028723954721443,0.52864928829322,0.6811804702090991,-0.8823286447408059,0.2723330371052405
168,0.4,0,2,2,0.5,HLP,32.5267809173969,0.14066906890702802,0.2332868760677137,0.681161246376413,-0.45334423338983765,0.3102919559717098
189,0.2,0,2,1,0.5,HLP,165.695573808983,0.2120513290484125,0.40503534276428355,0.6809240887383966,-0.7585869405858157,0.2795346422450362
210,0.2,0,4,2,0.5,HLP,231.21091359236254,0.22803796813700217,0.4561170152677383,0.6809199279276348,-0.6810982506818146,0.33480921131235375
168,0.2,0,2,4,0.5,HLP,123.51640210857204,0.19815382634711143,0.36273806688412374,0.6808960987716292,-0.6745069260439989,0.29377582156092735
168,0.4,2,4,1,0.5,LP,281.83780660871855,0.23556131820643,0.465654690894023,0.6808384536496539,-0.6714859548996428,0.35080602429225183
168,0.2,0,2,2,0.5,HLP,175.37114494172187,0.21388738958471398,0.40757569774506297,0.6808332014729757,-0.7225535849700253,0.2960159551261336
168,0.4,0,2,2,0.5,LP,29.670502527684846,0.13686941297380018,0.22634462487982446,0.6803268976487481,-0.45334423338983765,0.30191056352558493
126,0.4,2,4,1,1.0,HLP,535.2287100777502,0.26368768757665073,0.6516504192234717,0.6801959703969123,-0.7731168948497175,0.3410709160972452
126,0.2,0,3,3,0.5,HLP,321.736911462226,0.24001911927540776,0.5018475775621665,0.680018702561824,-0.7832157214105481,0.30645339810485484
147,0.3,2,3,1,0.5,HLP,522.4535304478206,0.2634701043213621,0.6539860881509376,0.6799169446595502,-0.8070748102116023,0.32645065982456367
